designador;coord_raw;lat;lon;ruta;wgs84_calculado
FANAL;100048,0N 0841801,7W;10.013333333333334;-84.30047222222221;CV B;FALSE
UNIVE;100048,0N 08400,06,0W;10.013333333333334;-84.00016666666667;;FALSE
LALIA;100106,8N 0842200,5W;10.018555555555556;-84.36680555555554;CV B;FALSE
AMBRO;100148,7N 0843056,6W;10.030194444444444;-84.51572222222221;CV B;FALSE
NUBES;100150,3N 0835757,8W;10.030638888888891;-83.96605555555557;;FALSE
SANIS;100151,0N 0840256,7W;10.030833333333334;-84.04908333333331;;FALSE
SALVA;100213,3N 0843611,4W;10.037027777777778;-84.60316666666667;CV B;FALSE
ARGEN;100242,2N 0842049,4W;10.045055555555555;-84.34705555555556;CV A;FALSE
CACAO;100253,2N 0841729,6W;10.04811111111111;-84.29155555555555;A502;FALSE
RAMON;100414,4N 0842510,1W;10.070666666666664;-84.41947222222223;G440;FALSE
RIOBA;100640,7N 0843023,1W;10.111305555555555;-84.50641666666667;G440;FALSE
MERBU;100710.7N 0853359.5W;10.119638888888888;-85.56652777777778;;FALSE
AVSIS;100849.0N 0853034.4W;10.146944444444443;-85.50955555555556;;FALSE
MIRAM;100852,5N 0843513,6W;10.147916666666665;-84.5871111111111;AD-2.MROC COCO TMA VFRR WEST  SECTOR;FALSE
JANES;100854,6N 0841152,8W;10.1485;-84.19800000000002;B767;FALSE
TONIO;101130,0N 0852547,7W;10.191666666666666;-85.42991666666666;G436;FALSE
BARVA;101155,0N 0840318,3W;10.198611111111111;-84.05508333333334;A322;FALSE
CAÑAS;101156,7N 0844140,7W;10.199083333333332;-84.69463888888887;G440;FALSE
GRAND;101204,10N 0835659,6W;10.20113888888889;-83.94988888888889;ENR_6_RA_LA PALMA VISUAL PASS;FALSE
RIOSA;101204,3N 0835959,5W;10.201194444444445;-83.99986111111112;;FALSE
ALIDU;101215.8N 0852322.4W;10.20438888888889;-85.38955555555557;;FALSE
ORRAL;101420,4N 0851917,8W;10.238999999999997;-85.32161111111112;G439;FALSE
AMAYO;101705,5N 0852724,7W;10.28486111111111;-85.4568611111111;AD-2.MRLB SID CAPULIN 2  RWY 07;FALSE
SAINO;101800,6N 0852137,0W;10.30016666666667;-85.36027777777777;G439;FALSE
EDERO;101903,4N 0851339,8W;10.317611111111109;-85.22772222222224;R773;FALSE
ARENA;102149,9N 0843408,3W;10.36386111111111;-84.56897222222223;A502;FALSE
ROMKO;102201.6N 0854142.5W;10.367111111111113;-85.69513888888889;;FALSE
TILAR;102205,3N 0845333,9W;10.36813888888889;-84.89275;;FALSE
SANMI;102232,4N 0850427,1W;10.375666666666666;-85.07419444444443;AD-2.MRLB SID  CAPULIN 2 RWY 07;FALSE
TABOG;102459,2N 0850943,5W;10.416444444444444;-85.16208333333334;G440;FALSE
RAKEN;102655.5N 0852142.4W;10.44875;-85.36177777777777;;FALSE
FIORA;102657,4N 0842801,5W;10.449277777777777;-84.46708333333333;;FALSE
PITIC;102708.2N 0854422.1W;10.452277777777777;-85.73947222222222;;FALSE
RENAL;102752,2N 0844211,6W;10.4645;-84.70322222222222;ENR_6_PA_ARENAL  VOLCANO;FALSE
OTARU;103054.6N 0854545.3W;10.515166666666667;-85.76258333333335;;FALSE
COTAL;103154,2N 0854206,4W;10.531722222222223;-85.70177777777779;AD-2.MRLB STAR RNAV 1 RWY  07 NORTH;TRUE
GOVIX;103216.9N 854156.1W;10.538027777777776;-85.69891666666666;;FALSE
PERKA;103338.4N 0853809.1W;10.560666666666666;-85.63586111111111;;FALSE
ARDIA;103343,5N 0853728,6W;10.562083333333334;-85.6246111111111;AD-2.MRLB SID GUARDIA 2  RWY 25;TRUE
MATUM;103441.5N 0854708.2W;10.578194444444444;-85.7856111111111;;FALSE
LIB;103539,0N 0853246,8W;10.594166666666668;-85.54633333333335;;FALSE
ALKEK;103652.9N 0852905.9W;10.614694444444442;-85.48497222222223;;FALSE
PULIN;103727,4N 0852803,0W;10.624277777777777;-85.4675;AD-2.MRLB SID  CAPULIN 2 RWY 07;TRUE
ADRUL;103836.9N 0852415.2W;10.643583333333332;-85.40422222222222;;FALSE
DANTA;103949,1N 0852326,4W;10.66363888888889;-85.39066666666668;AD-2.MRLB STAR RNAV 1 RWY  25 NORTH;TRUE
DUDKU;104033.2N 0854710.8W;10.675888888888888;-85.78633333333335;;FALSE
RADON;104209,6N 0840406,8W;10.702666666666667;-84.06855555555556;B767;FALSE
ANSON;104226,4N 0823809,3W;10.707333333333331;-82.63591666666669;B690;FALSE
COLOR;104510,1N 0833459,5W;10.752805555555558;-83.58319444444444;;FALSE
ROKBA;104544.8N 0853301.2W;10.762444444444446;-85.55033333333331;;FALSE
ORADA;104609,3N 0854553,9W;10.769250000000001;-85.76497222222223;G436;FALSE
REXER;104815.6N 0853833.6W;10.804333333333336;-85.64266666666667;;FALSE
DRITO;104849,9N 0855956,1W;10.81386111111111;-85.99891666666666;UL200;FALSE
ELENA;105205.7N 0855319.8W;10.86825;-85.88883333333335;G436;FALSE
PIRAS;105410,1N 0842229,6W;10.902805555555558;-84.37488888888888;UZ 403;FALSE
ADRIB;105433,91524N 0862438,21580W;10.9094209;-86.4106155;FIR;FALSE
CASTI;105611,7N 0833946,2W;10.936583333333333;-83.66283333333332;;FALSE
ALRAX;105702,52N 0861333,6W;10.950700000000001;-86.226;FIR y UL200;FALSE
LODMI;105933,41616N  0860217,51748W;10.992615599999997;-86.0381993;FIR y G/G440;FALSE
CAPPE;110247.1N 0854746.3W;11.046416666666667;-85.79619444444445;;FALSE
ULAPO;110256,7N 0851025,5W;11.049083333333332;-85.17375;A502;FALSE
TOTOK;110331.5N 0854420.7W;11.05875;-85.73908333333333;;FALSE
LINAS;110334,5N 0854412,6W;11.059583333333334;-85.73683333333332;G439;FALSE
CHILE;110336,7N 0843321,5W;11.060194444444445;-84.55597222222222;A317;FALSE
